symbol,rule,n_trades,gross_bps,t,hit_rate,cost_bps,net_bps,ratio,ann_net_pct,sharpe
EURUSD,h20_usd-_hivol,293,0.486,0.75,0.4505,0.9081,-0.4221,0.54,-0.19,-0.26
EURUSD,h21_usd+_hivol,280,-0.4628,-0.96,0.4214,0.9081,-1.371,-0.51,-0.59,-1.11
EURUSD,h21_usd-_hivol,280,0.4628,0.96,0.4679,0.9081,-0.4453,0.51,-0.19,-0.36
EURUSD,h22_usd+_hivol,232,-0.4176,-1.11,0.4138,0.9081,-1.3257,-0.46,-0.47,-1.38
EURUSD,h22_usd-_hivol,232,0.4176,1.11,0.4267,0.9081,-0.4905,0.46,-0.17,-0.51
EURUSD,h23_usd+_hivol,79,3.2591,1.32,0.3797,0.9081,2.351,3.59,0.28,0.37
EURUSD,h23_usd-_hivol,79,-3.2591,-1.32,0.4557,0.9081,-4.1672,-3.59,-0.5,-0.66
GBPUSD,h00_usd+_hivol,217,0.0242,0.03,0.4747,1.1976,-1.1734,0.02,-0.39,-0.63
GBPUSD,h00_usd-_hivol,217,-0.0242,-0.03,0.3825,1.1976,-1.2218,-0.02,-0.41,-0.66
GBPUSD,h01_usd+_hivol,265,0.8633,1.15,0.4679,1.1976,-0.3343,0.72,-0.14,-0.17
GBPUSD,h01_usd-_hivol,265,-0.8633,-1.15,0.4151,1.1976,-2.0609,-0.72,-0.84,-1.08
GBPUSD,h02_usd+_hivol,288,1.9496,1.41,0.4549,1.1976,0.7519,1.63,0.33,0.21
GBPUSD,h02_usd-_hivol,288,-1.9496,-1.41,0.4097,1.1976,-3.1472,-1.63,-1.39,-0.89
GBPUSD,h03_usd+_hivol,289,-0.5409,-0.69,0.4464,1.1976,-1.7386,-0.45,-0.77,-0.87
GBPUSD,h03_usd-_hivol,289,0.5409,0.69,0.4187,1.1976,-0.6567,0.45,-0.29,-0.33
GBPUSD,h04_usd+_hivol,290,-0.0656,-0.13,0.4172,1.1976,-1.2632,-0.05,-0.56,-0.96
GBPUSD,h04_usd-_hivol,290,0.0656,0.13,0.4655,1.1976,-1.132,0.05,-0.5,-0.86
GBPUSD,h05_usd+_hivol,281,-0.051,-0.11,0.4164,1.1976,-1.2486,-0.04,-0.54,-1.09
GBPUSD,h05_usd-_hivol,281,0.051,0.11,0.4057,1.1976,-1.1466,0.04,-0.49,-1.0
GBPUSD,h06_usd+_hivol,287,0.4964,1.0,0.4634,1.1976,-0.7013,0.41,-0.31,-0.55
GBPUSD,h06_usd-_hivol,287,-0.4964,-1.0,0.4007,1.1976,-1.694,-0.41,-0.74,-1.33
GBPUSD,h07_usd+_hivol,288,-1.3756,-1.75,0.3924,1.1976,-2.5732,-1.15,-1.13,-1.28
GBPUSD,h07_usd-_hivol,288,1.3756,1.75,0.4549,1.1976,0.178,1.15,0.08,0.09
GBPUSD,h08_usd+_hivol,290,1.1392,1.15,0.4966,1.1976,-0.0585,0.95,-0.03,-0.02
GBPUSD,h08_usd-_hivol,290,-1.1392,-1.15,0.4517,1.1976,-2.3368,-0.95,-1.04,-0.93
GBPUSD,h09_usd+_hivol,294,-1.0637,-0.97,0.483,1.1976,-2.2613,-0.89,-1.02,-0.8
GBPUSD,h09_usd-_hivol,294,1.0637,0.97,0.4796,1.1976,-0.1339,0.89,-0.06,-0.05
GBPUSD,h10_usd+_hivol,293,-0.8545,-0.82,0.4266,1.1976,-2.0521,-0.71,-0.92,-0.77
GBPUSD,h10_usd-_hivol,293,0.8545,0.82,0.5119,1.1976,-0.3432,0.71,-0.15,-0.13
GBPUSD,h11_usd+_hivol,294,0.3589,0.4,0.4286,1.1976,-0.8388,0.3,-0.38,-0.37
GBPUSD,h11_usd-_hivol,294,-0.3589,-0.4,0.4762,1.1976,-1.5565,-0.3,-0.7,-0.68
GBPUSD,h12_usd+_hivol,292,0.8258,0.91,0.4795,1.1976,-0.3718,0.69,-0.17,-0.16
GBPUSD,h12_usd-_hivol,292,-0.8258,-0.91,0.4281,1.1976,-2.0234,-0.69,-0.9,-0.87
GBPUSD,h13_usd+_hivol,295,0.2164,0.19,0.4508,1.1976,-0.9812,0.18,-0.44,-0.34
GBPUSD,h13_usd-_hivol,295,-0.2164,-0.19,0.4814,1.1976,-1.414,-0.18,-0.64,-0.49
GBPUSD,h14_usd+_hivol,293,-1.3228,-0.92,0.4471,1.1976,-2.5204,-1.1,-1.13,-0.69
GBPUSD,h14_usd-_hivol,293,1.3228,0.92,0.5017,1.1976,0.1251,1.1,0.06,0.03
GBPUSD,h15_usd+_hivol,294,0.239,0.2,0.4728,1.1976,-0.9586,0.2,-0.43,-0.31
GBPUSD,h15_usd-_hivol,294,-0.239,-0.2,0.4558,1.1976,-1.4366,-0.2,-0.65,-0.46
GBPUSD,h16_usd+_hivol,295,-1.0704,-0.79,0.4746,1.1976,-2.268,-0.89,-1.02,-0.65
GBPUSD,h16_usd-_hivol,295,1.0704,0.79,0.4814,1.1976,-0.1272,0.89,-0.06,-0.04
GBPUSD,h17_usd+_hivol,295,-0.3712,-0.35,0.4814,1.1976,-1.5688,-0.31,-0.71,-0.58
GBPUSD,h17_usd-_hivol,295,0.3712,0.35,0.4542,1.1976,-0.8264,0.31,-0.37,-0.3
GBPUSD,h18_usd+_hivol,293,1.0682,1.43,0.4778,1.1976,-0.1294,0.89,-0.06,-0.07
GBPUSD,h18_usd-_hivol,293,-1.0682,-1.43,0.4403,1.1976,-2.2658,-0.89,-1.02,-1.18
GBPUSD,h19_usd+_hivol,293,0.2631,0.38,0.4778,1.1976,-0.9345,0.22,-0.42,-0.52
GBPUSD,h19_usd-_hivol,293,-0.2631,-0.38,0.4266,1.1976,-1.4607,-0.22,-0.65,-0.82
GBPUSD,h20_usd+_hivol,288,-0.2847,-0.4,0.4722,1.1976,-1.4823,-0.24,-0.65,-0.81
GBPUSD,h20_usd-_hivol,288,0.2847,0.4,0.4097,1.1976,-0.9129,0.24,-0.4,-0.5
GBPUSD,h21_usd+_hivol,285,-1.0156,-1.97,0.3789,1.1976,-2.2133,-0.85,-0.96,-1.68
GBPUSD,h21_usd-_hivol,285,1.0156,1.97,0.4667,1.1976,-0.182,0.85,-0.08,-0.14
GBPUSD,h22_usd+_hivol,225,-0.8126,-1.94,0.3378,1.1976,-2.0102,-0.68,-0.69,-1.88
GBPUSD,h22_usd-_hivol,225,0.8126,1.94,0.4356,1.1976,-0.385,0.68,-0.13,-0.36
GBPUSD,h23_usd+_hivol,58,-2.0387,-1.03,0.3276,1.1976,-3.2363,-1.7,-0.29,-0.64
GBPUSD,h23_usd-_hivol,58,2.0387,1.03,0.3448,1.1976,0.8411,1.7,0.07,0.17
USDJPY,h00_usd+_hivol,273,1.7687,1.6,0.5238,1.0688,0.6999,1.65,0.29,0.25
USDJPY,h00_usd-_hivol,273,-1.7687,-1.6,0.4176,1.0688,-2.8375,-1.65,-1.18,-1.0
USDJPY,h01_usd+_hivol,297,-1.4155,-1.46,0.4714,1.0688,-2.4843,-1.32,-1.13,-1.0
USDJPY,h01_usd-_hivol,297,1.4155,1.46,0.4646,1.0688,0.3467,1.32,0.16,0.14
USDJPY,h02_usd+_hivol,316,0.6787,0.67,0.462,1.0688,-0.3902,0.63,-0.19,-0.15
USDJPY,h02_usd-_hivol,316,-0.6787,-0.67,0.4652,1.0688,-1.7475,-0.63,-0.84,-0.67
USDJPY,h03_usd+_hivol,316,0.0747,0.08,0.4525,1.0688,-0.9941,0.07,-0.48,-0.43
USDJPY,h03_usd-_hivol,316,-0.0747,-0.08,0.4494,1.0688,-1.1435,-0.07,-0.55,-0.49
USDJPY,h04_usd+_hivol,311,0.7818,1.19,0.4566,1.0688,-0.287,0.73,-0.14,-0.17
USDJPY,h04_usd-_hivol,311,-0.7818,-1.19,0.4405,1.0688,-1.8506,-0.73,-0.88,-1.1
USDJPY,h05_usd+_hivol,305,-0.7365,-0.96,0.459,1.0688,-1.8053,-0.69,-0.84,-0.92
USDJPY,h05_usd-_hivol,305,0.7365,0.96,0.4262,1.0688,-0.3323,0.69,-0.16,-0.17
USDJPY,h06_usd+_hivol,300,-1.0613,-1.07,0.4633,1.0688,-2.1301,-0.99,-0.98,-0.84
USDJPY,h06_usd-_hivol,300,1.0613,1.07,0.4333,1.0688,-0.0075,0.99,-0.0,-0.0
USDJPY,h07_usd+_hivol,310,0.2676,0.38,0.4935,1.0688,-0.8012,0.25,-0.38,-0.44
USDJPY,h07_usd-_hivol,310,-0.2676,-0.38,0.4032,1.0688,-1.3364,-0.25,-0.63,-0.74
USDJPY,h08_usd+_hivol,316,-0.2979,-0.33,0.4905,1.0688,-1.3667,-0.28,-0.66,-0.59
USDJPY,h08_usd-_hivol,316,0.2979,0.33,0.4652,1.0688,-0.7709,0.28,-0.37,-0.33
USDJPY,h09_usd+_hivol,318,-0.5014,-0.49,0.4528,1.0688,-1.5702,-0.47,-0.76,-0.61
USDJPY,h09_usd-_hivol,318,0.5014,0.49,0.4811,1.0688,-0.5675,0.47,-0.28,-0.22
USDJPY,h10_usd+_hivol,317,0.1861,0.23,0.4921,1.0688,-0.8827,0.17,-0.43,-0.43
USDJPY,h10_usd-_hivol,317,-0.1861,-0.23,0.4448,1.0688,-1.2549,-0.17,-0.61,-0.61
USDJPY,h11_usd+_hivol,316,-1.185,-2.0,0.4241,1.0688,-2.2538,-1.11,-1.09,-1.49
USDJPY,h11_usd-_hivol,316,1.185,2.0,0.4842,1.0688,0.1162,1.11,0.06,0.08
USDJPY,h12_usd+_hivol,316,-0.0749,-0.12,0.4525,1.0688,-1.1437,-0.07,-0.55,-0.69
USDJPY,h12_usd-_hivol,316,0.0749,0.12,0.4652,1.0688,-0.9939,0.07,-0.48,-0.6
USDJPY,h13_usd+_hivol,314,0.684,1.05,0.5064,1.0688,-0.3848,0.64,-0.18,-0.23
USDJPY,h13_usd-_hivol,314,-0.684,-1.05,0.4013,1.0688,-1.7529,-0.64,-0.84,-1.05
USDJPY,h14_usd+_hivol,318,-1.3896,-1.05,0.4308,1.0688,-2.4584,-1.3,-1.2,-0.72
USDJPY,h14_usd-_hivol,318,1.3896,1.05,0.5157,1.0688,0.3208,1.3,0.16,0.09
USDJPY,h15_usd+_hivol,317,-1.0692,-1.09,0.4606,1.0688,-2.138,-1.0,-1.04,-0.86
USDJPY,h15_usd-_hivol,317,1.0692,1.09,0.4953,1.0688,0.0004,1.0,0.0,0.0
USDJPY,h16_usd+_hivol,314,-0.0292,-0.03,0.4395,1.0688,-1.098,-0.03,-0.53,-0.4
USDJPY,h16_usd-_hivol,314,0.0292,0.03,0.4968,1.0688,-1.0396,0.03,-0.5,-0.37
USDJPY,h17_usd+_hivol,316,0.9044,1.1,0.4937,1.0688,-0.1644,0.85,-0.08,-0.08
USDJPY,h17_usd-_hivol,316,-0.9044,-1.1,0.4304,1.0688,-1.9732,-0.85,-0.95,-0.94
USDJPY,h18_usd+_hivol,308,0.3249,0.56,0.4481,1.0688,-0.7439,0.3,-0.35,-0.5
USDJPY,h18_usd-_hivol,308,-0.3249,-0.56,0.4448,1.0688,-1.3937,-0.3,-0.66,-0.94
