session,side,rng_pips,sweep_m,depth_pips,reclaim_min,entry_px,spread_pips,fade_outcome,fade_r,fade_minutes,fade_rr,cont_bps_60,cont_bps_120,symbol,mode,window,reclaimed,sweep_hour
2023-01-04,-1,57.55000000000052,601,6.099999999997863,10.0,132.3965,0.760317460317256,SL,-1.0,1.0,5.502439024390602,-9.557231953643374,-21.607654851711903,USDJPY,lagged,A00-07/obs16,True,7
2023-01-08,1,139.44999999999936,600,175.10000000000048,,,,,,,,37.24119080700615,34.773629744358395,USDJPY,lagged,A00-07/obs16,False,7
2023-01-09,1,72.45000000000061,600,117.10000000000207,,,,,,,,21.76072303224512,-2.4641933747316958,USDJPY,lagged,A00-07/obs16,False,7
2023-01-10,1,94.29999999999836,683,10.04999999999825,7.0,132.6225,0.6857142857140797,SL,-1.0,254.0,6.951851851852145,-10.58874954780949,-19.142650428071168,USDJPY,lagged,A00-07/obs16,True,8
2023-01-11,-1,106.54999999999859,600,380.4000000000002,,,,,,,,13.281321149935593,5.502261619260141,USDJPY,lagged,A00-07/obs16,False,7
2023-01-15,-1,84.00000000000318,600,349.3499999999983,,,,,,,,4.959503893406185,-49.048321969431825,USDJPY,lagged,A00-07/obs16,False,7
2023-01-16,-1,48.599999999999,600,396.550000000002,,,,,,,,17.570193504845363,31.184184498666667,USDJPY,lagged,A00-07/obs16,False,7
2023-01-17,-1,67.19999999999686,600,380.04999999999995,,,,,,,,26.193147658126804,68.66127741377156,USDJPY,lagged,A00-07/obs16,False,7
2023-01-18,-1,94.60000000000264,600,50.7000000000005,181.0,128.42149999999998,1.0237623762377142,OPEN,0.06853020739406958,357.0,1.6744815148783745,-17.152189541463027,-19.9653049104501,USDJPY,lagged,A00-07/obs16,True,7
2023-01-22,1,85.55000000000064,600,173.14999999999827,,,,,,,,8.96053901680213,-20.074683977556017,USDJPY,lagged,A00-07/obs16,False,7
2023-01-24,1,93.39999999999975,600,179.95000000000232,,,,,,,,3.3729268956432628,-13.568365012015477,USDJPY,lagged,A00-07/obs16,False,7
2023-01-25,1,94.95000000000005,600,125.60000000000002,,,,,,,,10.70229461833159,33.729614446940474,USDJPY,lagged,A00-07/obs16,False,7
2023-01-29,-1,68.6000000000007,600,62.949999999997885,107.0,130.096,0.6202290076334576,OPEN,0.3096410978183978,431.0,0.8937368050668464,-13.432092665998521,-44.34906457825934,USDJPY,lagged,A00-07/obs16,True,7
2023-01-30,-1,47.49999999999943,648,6.800000000001205,4.0,130.13,0.7104938271605704,SL,-1.0,337.0,3.876595744680632,-20.52456798474847,-11.91501137691199,USDJPY,lagged,A00-07/obs16,True,7
2023-01-31,1,56.49999999999977,600,82.24999999999909,381.0,129.586,0.6805220883534498,OPEN,0.38866160140271044,157.0,0.6569257744009659,-8.405199709847674,-23.833922464910437,USDJPY,lagged,A00-07/obs16,True,7
2023-02-01,-1,76.75000000000125,600,141.69999999999732,,,,,,,,-1.6714217968952902,-19.007564155389083,USDJPY,lagged,A00-07/obs16,False,7
2023-02-05,1,44.39999999999884,600,236.29999999999995,,,,,,,,4.058272238003289,-1.0240500039819165,USDJPY,lagged,A00-07/obs16,False,7
2023-02-06,1,46.350000000001046,600,199.89999999999668,,,,,,,,4.995231824170181,-18.807804671296992,USDJPY,lagged,A00-07/obs16,False,7
2023-02-07,1,61.50000000000091,600,275.0499999999988,,,,,,,,-20.842303398401413,-28.920124825203356,USDJPY,lagged,A00-07/obs16,False,7
2023-02-08,1,37.90000000000191,600,254.44999999999993,,,,,,,,-12.724439686536977,-20.153379024487045,USDJPY,lagged,A00-07/obs16,False,7
2023-02-12,-1,59.899999999998954,630,0.8000000000038199,0.0,132.038,0.657692307692114,TP,12.270833333325575,122.0,12.270833333325575,-31.278874263470428,-40.632242233295685,USDJPY,lagged,A00-07/obs16,True,7
