cong cu,N,k,ts,ALL,FORM,OOS,n,thang%,net,t,nam+
GBPAUD,12,2.0,3.0,0.457,0.369,0.689,168,64.9,5.5,1.41,7/7
GBPAUD,24,1.5,1.0,0.822,0.977,0.527,404,70.5,9.42,2.61,7/7
GBPAUD,24,1.5,2.0,0.889,1.043,0.593,370,69.5,10.43,2.84,7/7
GBPAUD,24,1.5,3.0,0.904,1.085,0.563,365,69.6,10.67,2.89,7/7
GBPAUD,24,2.0,1.0,0.549,0.53,0.599,224,64.7,8.44,1.7,6/7
GBPAUD,24,2.0,2.0,0.648,0.552,0.904,217,65.0,10.12,2.01,7/7
GBPAUD,24,2.0,3.0,0.714,0.64,0.906,216,64.8,10.8,2.22,7/7
GBPAUD,24,2.5,1.0,0.52,0.642,0.302,64,62.5,17.11,1.59,4/7
GBPAUD,24,2.5,2.0,0.873,1.016,0.621,63,61.9,25.4,2.76,6/7
GBPAUD,24,2.5,3.0,0.873,1.016,0.621,63,61.9,25.4,2.76,6/7
GBPAUD,48,1.5,1.0,0.319,0.401,0.175,229,65.9,6.09,0.99,4/7
GBPAUD,48,1.5,2.0,0.319,0.358,0.253,211,68.2,6.84,0.99,6/7
GBPAUD,48,1.5,3.0,0.354,0.425,0.24,208,68.3,7.57,1.1,6/7
GBPAUD,48,2.0,1.0,0.38,0.604,-0.011,149,62.4,9.07,1.16,5/7
GBPAUD,48,2.0,2.0,0.282,0.504,-0.059,138,63.8,7.85,0.86,4/7
GBPAUD,48,2.0,3.0,0.349,0.648,-0.073,138,63.8,9.42,1.07,5/7
GBPAUD,48,2.5,1.0,0.231,0.202,0.277,78,64.1,8.58,0.7,5/7
GBPAUD,48,2.5,2.0,0.085,0.074,0.101,75,64.0,3.51,0.26,5/7
GBPAUD,48,2.5,3.0,0.164,0.23,0.078,75,64.0,6.48,0.5,4/7
GBPAUD,96,1.5,1.0,0.348,0.47,0.158,127,68.5,11.13,1.08,5/7
GBPAUD,96,1.5,2.0,0.159,0.23,0.024,117,67.5,6.03,0.49,4/7
GBPAUD,96,1.5,3.0,0.171,0.25,0.024,117,67.5,6.4,0.53,4/7
GBPAUD,96,2.0,1.0,0.419,0.526,0.248,100,70.0,17.11,1.29,6/7
GBPAUD,96,2.0,2.0,0.383,0.403,0.351,94,70.2,16.52,1.17,6/7
GBPAUD,96,2.0,3.0,0.403,0.433,0.351,94,70.2,17.04,1.23,6/7
GBPAUD,96,2.5,1.0,0.356,0.606,-0.005,60,68.3,20.13,1.09,4/7
GBPAUD,96,2.5,2.0,0.35,0.428,0.204,60,68.3,21.04,1.07,5/7
GBPAUD,96,2.5,3.0,0.371,0.461,0.204,60,68.3,21.8,1.14,5/7
GBPAUD,192,1.5,1.0,0.097,-0.116,0.535,73,72.6,6.64,0.29,3/7
GBPAUD,192,1.5,2.0,0.201,-0.05,0.767,70,72.9,13.18,0.61,4/7
GBPAUD,192,1.5,3.0,0.201,-0.05,0.767,70,72.9,13.18,0.61,4/7
