session,t_entry,symbol,side,sweep_side,asia_rng_pips,asia_rng_rel,depth_pips,depth_frac,wick_body,close_pos,sweep_hour,dow,h1_bias,aligned,sl_pips,tp_pips,rr,cost_pips,cost_r,outcome,r_gross,r_net,minutes
2023-09-06,2023-09-07 09:00:00,USDJPY,1,-1,44.49999999999932,1.0722891566264734,2.400000000000091,0.053932584269665795,0.5999999999997158,0.7462686567165066,8,3,1,True,8.050000000000068,41.849999999999454,5.198757763975044,1.5622798363397228,0.19407202935897014,SL,-1.0,-1.1940720293589702,120.0
2023-09-07,2023-09-08 07:45:00,USDJPY,-1,1,78.05000000000177,1.821470245040883,6.700000000000728,0.08584240871237124,133.9999999955662,0.03030303030334349,7,4,-1,True,11.050000000003024,76.69999999999959,6.941176470586298,1.6109565664486358,0.1457879245654475,SL,-1.0,-1.1457879245654474,195.0
2023-09-11,2023-09-12 11:00:00,USDJPY,-1,1,50.54999999999836,1.1140495867768248,3.449999999997999,0.06824925816020001,0.4999999999995881,0.05228758169923713,10,1,1,False,10.349999999999682,46.649999999996794,4.507246376811423,1.559774102478117,0.15070281183363912,SL,-1.0,-1.150702811833639,75.0
2023-09-12,2023-09-13 12:30:00,USDJPY,-1,1,34.950000000000614,0.7400741132874404,2.7999999999991587,0.08011444921313618,0.4912280701751499,0.0,12,2,1,False,9.749999999999659,31.000000000000227,3.179487179487314,1.7732075513437529,0.1818674411634682,SL,-1.0,-1.1818674411634682,0.0
2023-09-13,2023-09-14 12:15:00,USDJPY,-1,1,36.84999999999832,0.7803070407622449,2.000000000001023,0.054274084124860636,5.7142857142845545,0.34782608695672473,12,3,-1,True,9.950000000000614,31.89999999999884,3.2060301507534543,1.710050558938258,0.1718643777827289,SL,-1.0,-1.171864377782729,15.0
2023-09-14,2023-09-15 14:45:00,USDJPY,-1,1,35.599999999999454,0.753838009528813,6.049999999999045,0.16994382022469487,1.4578313253005035,0.14736842105248357,14,4,1,False,11.249999999998295,33.40000000000032,2.968888888889367,1.6196645603538076,0.1439701831425825,SL,-1.0,-1.1439701831425826,0.0
2023-09-19,2023-09-20 07:15:00,USDJPY,-1,1,25.849999999999795,0.6807109940750415,3.700000000000614,0.14313346228242332,2.4666666666646457,0.5,7,2,1,False,7.599999999999341,24.950000000001182,3.282894736842546,1.480203208947765,0.19476358012472283,SL,-1.0,-1.194763580124723,0.0
2023-09-20,2023-09-21 08:30:00,USDJPY,1,-1,26.650000000000773,0.7017774851876413,3.6500000000017963,0.13696060037529795,0.70192307692314,0.41573033707859425,8,3,1,True,6.749999999999545,26.550000000003138,3.933333333334063,1.6051564458612524,0.2378009549424238,SL,-1.0,-1.2378009549424238,75.0
2023-09-26,2023-09-27 11:45:00,USDJPY,-1,1,29.050000000000864,0.6978978978979339,7.449999999997203,0.2564543889844056,0.7641025641020812,0.009950248755985347,11,2,1,False,12.899999999999068,26.599999999999113,2.0620155038760495,1.488924461004666,0.11542050085308321,SL,-1.0,-1.1154205008530833,105.0
2023-09-27,2023-09-28 07:30:00,USDJPY,1,-1,30.25000000000091,0.7965766951942278,5.14999999999759,0.17024793388421272,10.300000000004548,0.7485380116957743,7,3,1,True,9.299999999998931,29.09999999999968,3.1290322580648415,1.5693942791598432,0.16875207302795953,SL,-1.0,-1.1687520730279595,300.0
