symbol,rule,n_trades,gross_bps,t,hit_rate,cost_bps,net_bps,ratio,ann_net_pct,sharpe
NZDUSD,h15_usd+_me1,69,1.8618,0.53,0.4638,2.9048,-1.0429,0.64,-0.11,-0.12
NZDUSD,h15_usd-_me1,69,-1.8618,-0.53,0.4783,2.9048,-4.7666,-0.64,-0.5,-0.53
NZDUSD,h16_usd+_me1,69,0.3433,0.17,0.4638,2.9048,-2.5614,0.12,-0.27,-0.49
NZDUSD,h16_usd-_me1,69,-0.3433,-0.17,0.4058,2.9048,-3.2481,-0.12,-0.34,-0.63
NZDUSD,h17_usd+_me1,68,0.4916,0.3,0.4265,2.9048,-2.4132,0.17,-0.25,-0.58
NZDUSD,h17_usd-_me1,68,-0.4916,-0.3,0.3971,2.9048,-3.3964,-0.17,-0.35,-0.81
NZDUSD,h18_usd+_me1,65,-0.3396,-0.18,0.4,2.9048,-3.2444,-0.12,-0.32,-0.67
NZDUSD,h18_usd-_me1,65,0.3396,0.18,0.4154,2.9048,-2.5651,0.12,-0.26,-0.53
NZDUSD,h19_usd+_me1,62,-2.4904,-1.5,0.3065,2.9048,-5.3952,-0.86,-0.51,-1.27
NZDUSD,h19_usd-_me1,62,2.4904,1.5,0.4355,2.9048,-0.4144,0.86,-0.04,-0.1
NZDUSD,h20_usd+_me1,58,2.0286,1.28,0.3621,2.9048,-0.8762,0.7,-0.08,-0.22
NZDUSD,h20_usd-_me1,58,-2.0286,-1.28,0.2759,2.9048,-4.9334,-0.7,-0.44,-1.22
NZDUSD,h21_usd+_me1,34,2.4085,1.6,0.3529,2.9048,-0.4963,0.83,-0.03,-0.13
NZDUSD,h21_usd-_me1,34,-2.4085,-1.6,0.2647,2.9048,-5.3133,-0.83,-0.28,-1.38
NZDUSD,h22_usd+_me1,8,,,,,,,,
NZDUSD,h22_usd-_me1,8,,,,,,,,
NZDUSD,h23_usd+_me1,28,2.5202,0.74,0.5,2.9048,-0.3846,0.87,-0.02,-0.04
NZDUSD,h23_usd-_me1,28,-2.5202,-0.74,0.2857,2.9048,-5.425,-0.87,-0.23,-0.62
