tf,họ,công cụ,N,k,ts,ALL,FORM,OOS,n,thắng%,net,t,năm+
H1,gap_fade,AUDCAD,24,0.5,96,0.129,0.27,-0.075,248,52.0,2.19,0.4,4/7
H1,gap_fade,AUDCAD,24,0.8,24,0.08,-0.09,0.321,111,47.7,1.41,0.24,3/7
H1,gap_fade,AUDCAD,24,0.8,96,0.302,0.411,0.172,100,56.0,9.24,0.93,5/7
H1,gap_fade,AUDCAD,48,0.3,24,0.271,0.248,0.31,701,49.2,1.65,0.83,4/7
H1,gap_fade,AUDCAD,48,0.3,96,0.035,-0.17,0.378,531,49.5,0.32,0.11,3/7
H1,gap_fade,AUDCAD,48,0.5,24,-0.001,-0.125,0.184,309,47.9,-0.01,-0.0,4/7
H1,gap_fade,AUDCAD,48,0.5,96,0.252,0.506,-0.133,241,52.7,4.43,0.78,4/7
H1,gap_fade,AUDCAD,48,0.8,24,0.279,0.14,0.465,111,49.5,5.2,0.87,3/7
H1,gap_fade,AUDCAD,48,0.8,96,0.465,0.634,0.274,100,58.0,14.49,1.44,5/7
H1,gap_fade,NZDCAD,14,0.3,24,-0.077,0.239,-0.683,786,49.6,-0.43,-0.23,3/7
H1,gap_fade,NZDCAD,14,0.3,96,-0.101,0.129,-0.507,602,53.3,-0.89,-0.31,2/7
H1,gap_fade,NZDCAD,14,0.5,24,0.145,0.439,-0.345,380,49.7,1.29,0.45,4/7
H1,gap_fade,NZDCAD,14,0.5,96,-0.338,-0.146,-0.64,297,53.2,-5.22,-1.04,1/7
H1,gap_fade,NZDCAD,14,0.8,24,-0.25,0.056,-0.655,141,42.6,-3.47,-0.77,2/7
H1,gap_fade,NZDCAD,14,0.8,96,-0.135,-0.093,-0.219,124,47.6,-3.48,-0.41,4/7
H1,gap_fade,NZDCAD,24,0.3,24,-0.069,0.213,-0.608,788,49.6,-0.39,-0.21,2/7
H1,gap_fade,NZDCAD,24,0.3,96,-0.069,0.164,-0.481,604,53.3,-0.61,-0.21,3/7
H1,gap_fade,NZDCAD,24,0.5,24,0.108,0.46,-0.508,372,49.7,0.98,0.33,4/7
H1,gap_fade,NZDCAD,24,0.5,96,-0.278,0.155,-0.996,290,53.4,-4.3,-0.86,2/7
H1,gap_fade,NZDCAD,24,0.8,24,-0.324,0.059,-0.811,141,42.6,-4.52,-1.0,2/7
H1,gap_fade,NZDCAD,24,0.8,96,-0.148,-0.007,-0.447,124,47.6,-3.88,-0.45,4/7
H1,gap_fade,NZDCAD,48,0.3,24,-0.028,0.186,-0.396,783,49.2,-0.16,-0.08,4/7
H1,gap_fade,NZDCAD,48,0.3,96,-0.033,-0.1,0.075,603,52.4,-0.31,-0.1,4/7
H1,gap_fade,NZDCAD,48,0.5,24,0.047,0.45,-0.667,368,48.4,0.43,0.14,3/7
H1,gap_fade,NZDCAD,48,0.5,96,-0.196,0.168,-0.815,292,54.1,-2.99,-0.6,2/7
H1,gap_fade,NZDCAD,48,0.8,24,-0.108,0.366,-0.8,144,43.8,-1.6,-0.33,2/7
H1,gap_fade,NZDCAD,48,0.8,96,-0.247,-0.141,-0.468,125,48.0,-6.29,-0.76,4/7
H1,gap_fade,CADJPY,14,0.3,24,-0.107,-0.154,-0.025,915,50.9,-0.68,-0.33,3/7
