cong cu,N,k,thoat,ALL,FORM,OOS,n,thang%,net,t
GBPNZD,48,1.5,time_only,0.276,0.5,-0.181,201,52.7,7.23,0.84
GBPNZD,48,1.5,time_only_2x,0.355,0.453,0.163,156,64.7,13.13,1.09
GBPNZD,48,2.0,time_only,0.033,0.358,-0.683,133,45.9,1.09,0.1
GBPNZD,48,2.0,time_only_2x,0.169,0.346,-0.152,103,53.4,8.25,0.52
GBPNZD,48,2.5,time_only,0.258,0.325,0.138,76,50.0,11.85,0.79
GBPNZD,48,2.5,time_only_2x,-0.037,-0.082,0.035,64,51.6,-2.32,-0.11
GBPNZD,96,1.5,time_only,-0.02,-0.101,0.159,108,53.7,-1.02,-0.06
GBPNZD,96,1.5,time_only_2x,-0.052,-0.167,0.296,81,58.0,-3.68,-0.16
GBPNZD,96,2.0,time_only,0.185,-0.071,0.658,82,53.7,10.77,0.56
GBPNZD,96,2.0,time_only_2x,0.244,-0.139,1.271,65,61.5,18.86,0.74
GBPNZD,96,2.5,time_only,-0.012,-0.31,0.474,52,51.9,-0.95,-0.04
GBPNZD,96,2.5,time_only_2x,0.22,-0.102,0.955,45,60.0,21.37,0.66
GBPCHF,12,1.5,time_only,-0.356,-0.008,-1.092,501,51.3,-3.25,-1.1
GBPCHF,12,1.5,time_only_2x,-0.194,0.172,-1.033,397,53.9,-2.72,-0.6
GBPCHF,12,2.0,time_only,0.321,0.673,-0.351,190,57.4,4.75,0.98
GBPCHF,12,2.0,time_only_2x,0.328,0.82,-0.769,172,52.9,6.61,1.0
GBPCHF,24,1.5,time_only,-0.442,-0.598,-0.116,337,50.4,-7.2,-1.36
GBPCHF,24,1.5,time_only_2x,-0.41,-0.555,-0.137,249,56.2,-8.85,-1.26
GBPCHF,24,2.0,time_only,-0.368,-0.393,-0.337,206,49.0,-7.9,-1.13
GBPCHF,24,2.0,time_only_2x,-0.389,-0.26,-0.727,159,49.7,-13.26,-1.19
GBPCHF,24,2.5,time_only,-0.287,-0.281,-0.297,87,47.1,-8.09,-0.87
GBPCHF,24,2.5,time_only_2x,0.056,0.159,-0.167,79,51.9,2.22,0.17
GBPCHF,48,1.5,time_only,-0.16,-0.019,-0.421,192,53.6,-4.15,-0.49
GBPCHF,48,1.5,time_only_2x,-0.187,-0.119,-0.368,149,59.1,-6.44,-0.57
GBPCHF,48,2.0,time_only,-0.193,0.081,-0.683,139,49.6,-5.76,-0.59
GBPCHF,48,2.0,time_only_2x,0.134,0.47,-0.625,112,58.0,5.42,0.41
GBPCHF,48,2.5,time_only,-0.076,-0.094,-0.036,76,53.9,-3.29,-0.23
GBPCHF,48,2.5,time_only_2x,0.188,0.176,0.234,65,56.9,12.53,0.57
GBPCHF,96,1.5,time_only,0.385,0.582,-0.093,114,58.8,19.42,1.18
GBPCHF,96,1.5,time_only_2x,0.338,0.716,-0.513,90,67.8,17.68,1.03
GBPCHF,96,2.0,time_only,0.317,0.323,0.324,82,58.5,17.73,0.97
GBPCHF,96,2.0,time_only_2x,0.157,0.176,0.123,61,65.6,11.82,0.48
GBPCHF,96,2.5,time_only,0.291,0.234,0.442,52,59.6,21.91,0.88
GBPCHF,96,2.5,time_only_2x,0.282,0.166,0.471,45,66.7,23.53,0.86
AUDCHF,12,1.5,time_only,-0.114,0.007,-0.304,512,50.4,-1.26,-0.35
AUDCHF,12,1.5,time_only_2x,-0.069,-0.019,-0.156,407,58.2,-1.12,-0.21
AUDCHF,12,2.0,time_only,0.092,0.088,0.099,170,50.6,1.83,0.28
AUDCHF,12,2.0,time_only_2x,0.016,-0.127,0.225,154,53.9,0.54,0.05
AUDCHF,24,1.5,time_only,-0.575,-0.512,-0.724,332,49.1,-11.04,-1.77
AUDCHF,24,1.5,time_only_2x,-0.383,-0.365,-0.425,249,52.6,-9.16,-1.18
AUDCHF,24,2.0,time_only,-0.361,-0.252,-0.602,208,47.1,-8.58,-1.11
AUDCHF,24,2.0,time_only_2x,-0.212,-0.001,-0.624,168,51.2,-6.94,-0.65
AUDCHF,24,2.5,time_only,-0.366,-0.499,-0.015,67,43.3,-17.27,-1.12
AUDCHF,24,2.5,time_only_2x,-0.355,-0.455,-0.121,60,36.7,-25.32,-1.09
AUDCHF,48,1.5,time_only,-0.354,-0.407,-0.252,196,50.0,-11.67,-1.08
AUDCHF,48,1.5,time_only_2x,-0.439,-0.529,-0.275,148,58.1,-19.23,-1.34
AUDCHF,48,2.0,time_only,-0.124,-0.166,-0.04,141,49.6,-5.5,-0.38
AUDCHF,48,2.0,time_only_2x,-0.057,0.005,-0.203,110,59.1,-3.91,-0.17
AUDCHF,48,2.5,time_only,-0.418,-0.738,0.196,74,45.9,-26.15,-1.26
AUDCHF,48,2.5,time_only_2x,-0.532,-0.762,-0.075,62,50.0,-48.7,-1.61
AUDCHF,96,1.5,time_only,-0.136,-0.33,0.295,110,59.1,-8.42,-0.41
AUDCHF,96,1.5,time_only_2x,-0.14,-0.37,0.214,87,62.1,-11.02,-0.42
AUDCHF,96,2.0,time_only,-0.332,-0.46,-0.039,74,51.4,-30.97,-1.01
AUDCHF,96,2.0,time_only_2x,-0.349,-0.4,-0.261,59,52.5,-37.83,-1.06
AUDCHF,96,2.5,time_only,-0.014,-0.181,0.403,50,50.0,-1.72,-0.04
AUDCHF,96,2.5,time_only_2x,0.092,0.077,0.121,41,53.7,14.25,0.28
EURJPY,12,1.5,time_only,0.101,0.031,0.233,526,51.7,0.99,0.31
EURJPY,12,1.5,time_only_2x,-0.056,0.018,-0.201,414,54.1,-0.82,-0.17
EURJPY,12,2.0,time_only,-0.024,0.011,-0.1,170,50.0,-0.4,-0.07
EURJPY,12,2.0,time_only_2x,-0.03,-0.03,-0.033,146,47.9,-0.79,-0.09
EURJPY,24,1.5,time_only,-0.685,-0.771,-0.532,339,46.3,-10.9,-2.11
EURJPY,24,1.5,time_only_2x,-0.358,-0.559,-0.0,254,56.7,-8.44,-1.09
